id,created_at,username,lang,text
818386443794006016,2017-01-09 09:18:27,MadsterKamara,en,What a beautiful morning...! Nice cup of tea ☕️ to start the day. #hustle #success #reading #fun… https://t.co/bgMwUVtN7A
818386443332702209,2017-01-09 09:18:27,FionaDecleorUK,en,@SarahLHolden @AustralianBodyC is a brilliant shower gel with tea tree oil so will help with the breakouts it's not Decleor but is fab
818386442007285760,2017-01-09 09:18:27,WillBeresford1,und,@sharl4nd https://t.co/rStNPBcKxM
818386429973843969,2017-01-09 09:18:24,yousef738,en,There's gegenpressing and then there's Holland's pressing in the 1974 World Cup. https://t.co/VfNy4W2Y7U
818386412919783425,2017-01-09 09:18:20,e_gibbon,en,"Guignes, (tom. i."
818386402664714241,2017-01-09 09:18:17,lilyskitchen,en,"@treachetour Hi Anna. We haven't, they're just temporarily out of stock - should be back online soon, apologies for any inconvenience ☺️"
818386399523143684,2017-01-09 09:18:17,HorshamGardener,en,@rocketmail222 it's called NATO! You fool which of course was formed well before the EU started.
818386388743819264,2017-01-09 09:18:14,ConorMcNicholas,en,"Just posted a photo @ London, United Kingdom https://t.co/oOIapP4Rk7"
818386382238388225,2017-01-09 09:18:13,SirTeno,en,Excellent collection of Japanese ebooks recently curated by the @JPN_PMO #JapanLibrary #Japan #Literature https://t.co/kUuw0nmAYD
818386372532858880,2017-01-09 09:18:10,EmmaBallantine,en,@HayleyHuls Sounds good! Best of both worlds :-)
818386372474138624,2017-01-09 09:18:10,TomParker81,en,First #TubeStrike and now this. Someone in our office is having the worst morning in recorded history. https://t.co/WZYfnqWSSN
818386364853063680,2017-01-09 09:18:08,theflorencepub,en,#TubeStrike avoid the chaos and join us from 11am for great #Coffee #WiFi and #usbports and a cheeky bit of brunch.… https://t.co/PMotq8kkHl
818386362436964353,2017-01-09 09:18:08,georgebettany,en,"Sanctus in the paper this morning. 

Unreal. 

❤️ @ Shoreditch https://t.co/i1ryvwhW1H"
818386361409486849,2017-01-09 09:18:08,e_gibbon,en,"rekindled the flame of industry are just and singular objects. The proud historians of the use of victory, that the flying Italians. M. de"
818386348637822976,2017-01-09 09:18:05,JOU5T,en,@nathansldennis is it anything else?
818386344015695873,2017-01-09 09:18:03,IXIIIIXIXI,en,Crippling stress stomach pain I have not missed you
818386343134892032,2017-01-09 09:18:03,SlimFastUK,en,@misskerrybabyxx Yum! 🍌 Great to hear you're a fan Kerry! #SlimFastChallenge
818386333123145728,2017-01-09 09:18:01,nathanjhoran,en,Mental health services are virtually none existent for those in need https://t.co/wUGXYl98sL
818386316685557761,2017-01-09 09:17:57,MatthewDilworth,en,Ciao mille 💃🕺 @ The Glory https://t.co/eaO3a1IbWD
818386315079274500,2017-01-09 09:17:57,Troy_cooper21,en,Live scenes from Stratford this morning #TubeStrike #London https://t.co/S6pLErSrNf
818386312994680832,2017-01-09 09:17:56,JackO_May,en,@jackrjthompson @SadiqKhan i work on commission xoxo
818386288801935360,2017-01-09 09:17:50,e_gibbon,en,"relieved him from the sea coast of Asia, the form, perhaps, of an unnatural and unpardonable offence. They dissolved the engagements, and"
818386261304078336,2017-01-09 09:17:44,BeckyRLH,en,@Webknit hmmm let me think...
818386255276834816,2017-01-09 09:17:42,margarethines1,en,Never seen so many people wearing trainers! #TubeStrike 😳😂 Morning all 😘
818386245512548353,2017-01-09 09:17:40,7exie,en,@chiswickish took me 1.5hrs to get to J12 from Chiswick (usually 50 mins) 😖
818386245231509504,2017-01-09 09:17:40,Crozzy1971,en,"@neilthefish I know, lazy bastards."
818386240898822145,2017-01-09 09:17:39,londoncab28,en,As @SadiqKhan talks utter rubbish on the radio this is what he and @TfLTPH have created https://t.co/YD9bPczE8B
818386223790166016,2017-01-09 09:17:35,Robsblackcab,en,Why no cab sharing ?
818386212755034113,2017-01-09 09:17:32,TorrWaterfield,en,21 days until the tax return deadline - 'Are you ready?' https://t.co/vTEVAETHLF We can still help get in touch… https://t.co/3Xhha7vpet
818386210473312256,2017-01-09 09:17:32,lifeslittlelab,en,"Monday morning ritual, setting the intention of the week. Feeling supported. @ London, United… https://t.co/XKAX1gfXJb"
818386210397847553,2017-01-09 09:17:32,DylanJMH,en,A good day to be commuting :) #TubeStrike https://t.co/0WOgYhlwCq
818386207524712450,2017-01-09 09:17:31,e_gibbon,en,And the first license of maintaining a flying synod. This new and perpetual vow; and the bishops of Arles and Marseilles might have
818386197181501440,2017-01-09 09:17:28,MartinCox0155,en,"..so I was right, @edsheeran's teaser tweets were NOT by him! The label has his credentials"
818386196405440512,2017-01-09 09:17:28,chromelondoncom,pl,Becker Europa TR Radio + Amp 1966-69 #porsche #benz #pagoda #w111 #sclass #mercedes #vw #bmw… https://t.co/UBhJWhG07S
818386191825379329,2017-01-09 09:17:27,ZombieSquid,en,@PH4NT4M what a noisy fella la
818386190390984705,2017-01-09 09:17:27,connorbanona,en,Well this was an expected nightmare #TubeStrike https://t.co/NwiSKgxtAX
818386188117614592,2017-01-09 09:17:26,WoodfordAdam,en,"Still managed to into work before others who live in London mind. 
#milkingit #TubeStrike"
818386170954530817,2017-01-09 09:17:22,TarpeyTa,en,@SonnyJPColeman so happy
818386170224803840,2017-01-09 09:17:22,CharlotteGay92,en,"Also quite proud of Donald Glover, loved him since the Derek Comedy Youtube days."
818386169977249792,2017-01-09 09:17:22,Atinuke__12,en,"And y'all know in reality making your money bit by bit is better than waiting on an opportunity that would never happened,"
818386166479261696,2017-01-09 09:17:21,NoToTTIPSaveNHS,en,@LBC no! Only if they allow the sale of firearms otherwise it's not necessary!
818386156328992768,2017-01-09 09:17:19,sutcliffeCo,en,what is Cyber Essentials certification? https://t.co/FOhmbV1wTG #cyberessentials #infosec
818386146325446656,2017-01-09 09:17:16,trendinaliaGB,en,'Casey Affleck' just started trending with 34382 tweets. More trends at https://t.co/do7Hdxwcnc #trndnl
818386145176272896,2017-01-09 09:17:16,trendinaliaGB,en,'Evan Rachel Wood' just started trending with 20914 tweets. More trends at https://t.co/do7Hdxwcnc #trndnl
818386143284752385,2017-01-09 09:17:16,EmmaBallantine,en,@JackFKelly All good - just battling into London during the tube strike with everyone else! How's your day going?
818386140927578112,2017-01-09 09:17:15,HennaCx,en,@mitooll are you WFH today?
818386134598356992,2017-01-09 09:17:14,Sturgeball,en,"If you ask me how I got to work today, I literally can't even tell you. Found trains I didn't even know existed. #tubestrike"
818386127354728448,2017-01-09 09:17:12,gale_adam,en,Such a great evening last night in #London. Good times! 🇬🇧🇬🇧🇬🇧 #Brexit #Britain @Alexicon83 https://t.co/EjFlmkZ5Pg
818386112062308352,2017-01-09 09:17:08,eatonj66,en,"Thant you RMT , 5,700 steps @fitbit and walk to work via south bank @XLCatlin @dunnylawyer @paul26brown… https://t.co/NM87b5koHO"
818386104202264577,2017-01-09 09:17:06,TanyaAGT,en,"@Crystallise_ @grrrr_shark @woofyhawke @DeviantNobody @Reynarius @Basymatsu oh gosh !
well you're worth it"
818386101379416064,2017-01-09 09:17:06,EdwardUsher,en,"I love strikes, once got 3 in a row on my way to a friend group-topping 179.  #TubeStrike #bowling"
